code_barrios,name_barrios,noise_pollution,noise_units,pm_10,pm_units,carbon_monoxide,co_units,rainfall,rain_units,solar_radiation,solar_units,temperature,temp_units,trees_density,trees_units,mpi_index
164,Pinar del Rey,100.46,61.75,91.67,33.57,88.37,0.3,82.97,3.36,103.2,201.53,90.1,14.71,95.6,2755.0,93.73
165,Apostol Santiago,102.58,62.13,92.26,33.74,88.37,0.3,85.49,3.54,105.31,202.23,90.52,14.75,94.78,2853.08,94.75
56,Castilla,108.59,63.21,97.44,35.25,94.64,0.32,104.89,4.93,101.24,200.88,97.13,15.38,106.92,1404.31,101.84
159,Costillares,104.41,62.46,93.46,34.09,88.37,0.3,91.91,4.0,104.13,201.84,93.46,15.03,94.73,2859.03,96.17
84,Pilar,94.51,60.68,98.92,35.68,97.77,0.33,147.46,7.98,92.63,198.02,86.53,14.37,90.05,3417.77,105.43
83,Penagrande,96.52,61.04,95.97,34.82,97.77,0.33,111.17,5.38,92.51,197.98,85.58,14.28,100.82,2131.73,97.82
85,La Paz,100.02,61.67,94.56,34.41,97.77,0.33,132.25,6.89,95.64,199.02,94.61,15.14,99.71,2264.67,103.86
82,Fuentelareina,96.18,60.98,90.78,33.31,97.77,0.33,111.17,5.38,94.02,198.48,92.2,14.91,112.05,792.42,99.95
214,Timon,90.06,59.88,90.64,33.27,91.51,0.31,84.79,3.49,90.95,197.46,96.82,15.35,109.02,1153.14,94.04
212,Aeropuerto,89.56,59.79,98.24,35.48,94.64,0.32,92.05,4.01,98.2,199.87,97.76,15.44,118.51,21.48,99.33
166,Valdefuentes,96.52,61.04,88.27,32.58,88.37,0.3,90.93,3.93,97.72,199.71,96.08,15.28,110.5,976.41,96.1
87,Mirasierra,93.79,60.55,89.16,32.84,97.77,0.33,123.31,6.25,94.11,198.51,91.46,14.84,109.13,1140.59,101.31
86,Valverde,89.17,59.72,79.47,30.02,88.37,0.3,110.89,5.36,98.68,200.03,96.4,15.31,107.06,1387.66,96.99
88,El Goloso,92.68,60.35,84.49,31.48,94.64,0.32,111.03,5.37,97.39,199.6,96.19,15.29,117.4,153.86,100.4
81,El Pardo,91.01,60.05,77.68,29.5,97.77,0.33,105.17,4.95,97.9,199.77,95.35,15.21,118.6,10.52,99.25
191,Casco historico de Vicalvaro,101.47,61.93,98.82,35.65,94.64,0.32,97.07,4.37,117.2,206.18,98.08,15.47,115.07,432.06,103.99
194,El Canaveral,96.18,60.98,97.65,35.31,94.64,0.32,96.51,4.33,109.07,203.48,98.08,15.47,118.69,0.0,102.33
