station;year;month;day;period;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99
16;2019;12;29;E;061.2;067.3;064.5;059.6;051.0;045.6
16;2019;12;29;N;057.7;066.0;062.3;053.0;041.6;039.5
16;2019;12;29;T;059.3;066.7;063.0;056.5;044.2;040.2
17;2019;12;29;D;055.6;063.8;058.0;052.7;047.7;044.8
17;2019;12;29;E;056.9;066.6;058.7;053.4;049.7;047.3
17;2019;12;29;N;058.6;062.4;056.2;046.5;041.5;039.5
17;2019;12;29;T;056.2;065.1;057.6;051.4;043.7;040.3
18;2019;12;29;D;064.7;069.8;059.2;051.9;046.0;043.8
18;2019;12;29;E;057.7;068.0;058.1;052.4;047.2;045.3
18;2019;12;29;N;050.6;059.5;053.2;046.5;043.5;042.3
18;2019;12;29;T;062.0;067.6;057.7;050.0;044.6;042.8
19;2019;12;29;D;058.4;066.1;061.2;054.8;049.6;047.0
19;2019;12;29;E;058.9;066.8;062.2;056.6;052.4;050.0
19;2019;12;29;N;059.1;064.8;059.1;051.6;046.4;043.2
19;2019;12;29;T;058.6;065.9;060.9;054.2;048.3;044.5
20;2019;12;29;D;059.6;066.3;061.0;056.1;050.2;046.2
20;2019;12;29;E;058.5;066.5;061.6;056.6;052.1;049.1
20;2019;12;29;N;054.2;063.8;057.3;049.7;044.0;041.5
20;2019;12;29;T;058.2;065.7;060.5;054.8;046.6;042.3
24;2019;12;29;D;051.4;058.5;054.3;049.8;046.4;044.4
24;2019;12;29;E;048.7;055.8;050.7;047.3;045.7;044.4
24;2019;12;29;N;045.8;052.5;048.1;044.8;042.5;041.2
24;2019;12;29;T;049.7;057.5;052.9;047.7;043.7;041.7
25;2019;12;29;D;066.3;069.5;068.0;066.3;062.9;058.9
25;2019;12;29;E;067.3;069.9;068.5;067.1;065.7;064.2
25;2019;12;29;N;063.1;067.7;065.9;062.5;056.8;050.5
25;2019;12;29;T;065.6;069.3;067.8;065.6;059.9;052.9
26;2019;12;29;D;060.9;067.7;064.3;058.7;056.1;054.3
26;2019;12;29;E;061.5;067.9;064.8;059.5;057.3;055.3
26;2019;12;29;N;057.9;066.6;061.3;055.4;050.0;047.1
26;2019;12;29;T;060.2;067.6;063.8;058.1;052.8;048.2
27;2019;12;29;D;061.2;071.7;065.2;055.6;047.2;044.1
27;2019;12;29;E;062.7;072.4;065.2;057.2;053.5;051.3
27;2019;12;29;N;057.7;070.0;059.3;049.6;042.5;039.7
27;2019;12;29;T;060.6;071.5;063.8;054.6;045.2;040.7
28;2019;12;29;D;066.7;074.9;071.1;062.6;051.3;045.3
28;2019;12;29;E;065.8;074.3;070.1;062.0;052.8;048.1
28;2019;12;29;N;060.7;071.4;064.9;051.4;042.6;040.5
28;2019;12;29;T;065.3;074.4;069.9;059.6;045.5;041.2
29;2019;12;29;D;056.0;064.5;060.3;052.1;044.5;038.3
29;2019;12;29;E;055.4;064.8;060.3;049.9;043.4;039.8
29;2019;12;29;N;050.6;062.9;052.9;041.1;034.1;032.2
29;2019;12;29;T;054.7;064.3;059.5;049.0;037.4;032.7
30;2019;12;29;D;057.7;064.9;061.1;055.9;048.2;046.2
30;2019;12;29;E;059.7;065.8;061.4;057.0;052.8;049.1
30;2019;12;29;N;051.2;061.6;053.8;047.3;044.3;042.4
30;2019;12;29;T;056.9;064.6;060.4;053.6;046.0;043.2
31;2019;12;29;D;063.1;072.8;068.1;055.5;049.6;047.1
31;2019;12;29;E;064.1;072.9;068.9;059.1;053.0;050.0
31;2019;12;29;N;054.2;066.8;053.7;048.8;043.5;041.2
31;2019;12;29;T;061.8;072.3;066.7;053.5;046.1;042.1
47;2019;12;29;D;053.9;065.8;054.4;047.7;044.0;041.5
47;2019;12;29;E;053.7;066.1;054.7;048.5;046.4;045.2
47;2019;12;29;N;049.4;061.1;048.9;044.0;041.1;039.4
47;2019;12;29;T;052.8;065.0;053.6;046.7;042.2;040.0
48;2019;12;29;D;060.5;065.2;063.1;060.2;055.1;050.4
