district_id,district,street_type,street_details,location,location_id,green_area_ZV_road_trees_AV,specie,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Alfonso XI,,AV,Sophora japonica,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Avenida,,Ciudad de Barcelona,,AV,Platanus x hybrida,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Felipe IV,,AV,Sophora japonica,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Fuenterrabia,,AV,Sophora japonica,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Ibiza,,AV,Sophora japonica,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Juan de Mena,,AV,Sophora japonica,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Luis Mitjans,,AV,Acer buergerianum,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Ruiz de Alarcón,,AV,Sophora japonica,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Avenida,,Ciudad de Barcelona,,ZV,Ligustrum japonicum 'Variegata',1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Conde de Cartagena,,ZV,Cedrus deodara,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Conde de Cartagena,,ZV,Celtis australis,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Conde de Cartagena,,ZV,Hibiscus syriacus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Plaza,,Daoiz y Velarde,,ZV,Melia azedarach,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Plaza,,Daoiz y Velarde,,ZV,Pyrus calleryana,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Plaza,,Daoiz y Velarde,,ZV,Sophora japonica,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Federico Moreno Torroba,,ZV,Photinia x fraserii 'Red Robin',1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Federico Moreno Torroba,,ZV,Tilia cordata,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Paseo,,Infanta Isabel (mediana subterráneo) ,,ZV,Pyrus calleryana,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Paseo,,John Lennon,,ZV,Liquidambar styraciflua,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Retiro,Calle,,Las Californias,,ZV,Koelreuteria paniculata,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
