CODBAR,NOMBRE,Interpolate,air_qualityInterpolate,carbon_monoxideInterpolate,rainfallInterpolate,solar_radiationInterpolate,temperatureInterpolate,trees_densitytrees_density
"093",Ciudad Universitaria,61.1660795550,34.2570207350,0.3373071562,4.6108697845,198.3115146900,14.7974459170,167.252010567486
"096",El Plant�o,60.3610732880,31.6347770160,0.3331770902,4.7255071636,199.7957747600,15.3401608500,555.329770176525
"164",Pinar del Rey,61.7478291630,33.5701357760,0.3041171886,3.3626827044,201.5328365900,14.7130856860,2755.00391956574
"165",Apostol Santiago,62.1314616090,33.7362029420,0.2984028475,3.5396087545,202.2321365700,14.7507834600,2853.08188999363
"056",Castilla,63.2127910960,35.2479094000,0.3179617005,4.9340883876,200.8817223000,15.3752179840,1404.30808167495
"159",Costillares,62.4551832540,34.0937961130,0.3027977777,4.0031332099,201.8417578300,15.0289761850,2859.02821917197
"084",Pilar,60.6824428290,35.6833038720,0.3314401411,7.9847099638,198.0178295800,14.3677382420,3417.7728438807
"083",Pe�agrande,61.0433872840,34.8218518900,0.3333403859,5.3836898921,197.9794660900,14.2789840100,2131.72500192436
"085",La Paz,61.6724300010,34.4065654680,0.3285506993,6.8919840669,199.0243677900,15.1422279920,2264.66890187514
"082",Fuentelareina,60.9776847690,33.3100806430,0.3342378695,5.3785861129,198.4788595600,14.9114632750,792.419969850919
"214",Tim�n,59.8782485140,33.2717331960,0.3127887252,3.4898207374,197.4573098700,15.3496638180,1153.13910969182
"212",Aeropuerto,59.7897292370,35.4811106760,0.3193213953,4.0079523381,199.8687204600,15.4397665300,21.4767094674883
"166",Valdefuentes,61.0445118640,32.5798479630,0.2980173994,3.9325538485,199.7093418700,15.2803054680,976.413957521453
"087",Mirasierra,60.5537367090,32.8374714990,0.3307843251,6.2549928026,198.5129668900,14.8368514910,1140.58615660646
"086",Valverde,59.7243107600,30.0181083620,0.3033607461,5.3573595850,200.0307531800,15.3116125480,1387.65626105339
"088",El Goloso,60.3545882660,31.4769832510,0.3212963861,5.3749850328,199.5981551500,15.2916388950,153.864852182843
"081",El Pardo,60.0459073560,29.5011686930,0.3308451240,4.9474883375,199.7732206700,15.2130233930,10.5169743594012
"191",Casco hist�rico de Vic�lvaro,61.9272345910,35.6467105570,0.3231668402,4.3663818408,206.1810550700,15.4698474280,432.061193551732
"194",El Ca�averal,60.9821894740,35.3089079640,0.3246106285,4.3286780299,203.4770817200,15.4675593760,0
